Empire Of The Senseless  Acker Kathy
One Hundred More Poems From The Chinese Love And The Turning Year  Rexroth Kenneth  
Poetry Readings In The Cellar  Rexroth Kenneth
Selected Poems  Rexroth Kenneth
Women Poets Of Japan  Rexroth Kenneth
Women Poets Of China  Rexroth Kenneth
With Eye & Ear  Rexroth Kenneth
Bohemians; La vie de Boheme in Paris 1830-1914  Richardson Joanna
Zen and Now : on the trail of Robert Pirsig and the art of motorcycle maintenance  Richardson Mark 
Spinning Off Bukowski  Richmond Steve
Harry Potter 5  JK rowling
Myth-Making Miller: The Whole Man Aesthetic In Henry Millers Narrative  Richtersmith Aldous H.
Real Bohemia  Rigney Francis J.
In Montmartre: Picasso Matisse And The Birth Of Modernist Art  Roe Sue
Cultural Dictionary Of Punk: 1974-1982  Rombes Nicholas
Jack Kerouacs Avatar Angel : His Last Novel  Rosenthal Chuck
Sheeper: The Poet! The Crooked! The Extra-Fingered!  Rosenthal Irving
Evergreen Review Reader: a ten year anthology  Rosset Barney ed.
Freewheelin Time: A Memoir Of Greenwich Village In The Sixties  Rotolo Suze
Recurring Motifs In Three Novels By Jack Kerouac  Roudy Peter E.
Intimate Memories: The Autobiography Of Mabel Dodge Luha  Rudnick Lois Palken editor
Mabel Dodge Luhan: New Woman New Worlds  Rudnick Lois Palken
Suppressed Memoirs Of Mabel Dodge Luhan: Sex Syphilis And Psychoanalysis In The Making Of Modern American Culture  Rudnick Lois Palken
Robert Duncan in San Francisco  Rumaker Michael 
Notations Of Process Of Mind In American Poetry Since 1945: Readings In Creeley Whalen Kerouac And Ginsberg  Rupert John
Queer Burroughs  Russell Jamie
On The Road  Salles Walter
America: A History In Verse Volume 1 1900-1939  Sanders Edward
America: A History In Verse Volume 2 1940-1961  Sanders Edward
America: A History In Verse Volume 3 1962-1970  Sanders Edward
Book Of Glyphs  Sanders Edward
Fame & Love In New York  Sanders Edward
Fug You: An Informal History Of The Peace Eye Bookstore the Fuck You Press The Fugs And Counterculture In The Lower East Side  Sanders Edward
Hymn To The Rebel Cafe  Sanders Edward
1968: A History Of Verse  Sanders Edward
Tales of Beatnik Glory  Sanders Ed
Harry Potter 4  JK rowling
Poetry and Life of Allen Ginsburg: A Narrative Poem  Sanders Edward
Jack Kerouac: An Illustrated Biography  Sandison David
Neal Cassady : The Fast Life of a Beat Hero  Sandison David
The Other Paris  Sante Luc
Naked Lens: An Illustrated History of Beat Cinema  Sargent Jack
Genesis Angels: The Saga of Lew Welch And the Beat Generation  Saroyan Aram
Invisible Spectator: Biogrpahy of Paul Bowles  Sawyer-Laucanno Christopher
Whole Shot: Collected Interviews With Gregory Corso  Schober Rick editor
Charles Bukowski Tapes  Schroeder Barbet
Dharma Lion: A Biography of Allen Ginsberg  Schumacher Michael
Bukowski At Bellevue 1970  Screen Edge
Bohemian Paris: Culture Politics and the Boundaries of Bourgeois Life 1830-1930  Seigel Jerrold
Last Exit To Brooklyn  Selby Hubert Jr.
Gregory Corsos Bomb: A Response To Nuclear Anxiety  Serrano Janet
Ballads of a Bohemian  Service Robert W.
All Come To This: The Life And Works Of Lew Welch In The Context Of The Twentieth Century  Shaffer Eric Paul
Gary Snyder: A Bibliography Of Works By And About Gary Snyder  Sherlock John compiler
Henry Miller : A Bibliography of Primary Sources  Shifreen Lawrence J. ed.
Henry Miller: A Bibliography Of Secondary Sources  Shifreen Lawrence J. ed.
Poem that Changed America : Howl Fifty Years Later  Shinder Jason editor
William S. Burroughs: A Collectors Guide  Shoaf Eric C
Ferlinghetti the artist in his time  Silesky Barry
Revolution In Taste: Studies Of... Allen Ginsberg...  Simpson Louis
Everything Is Permitted: The Making Of Naked Lunch  Silverberg Ira editor
American Smoke: Journeys To The End Of The Light  Sinclair Iain
Harry Potter 3  JK rowling
21st Century Revolutionary: R.U. Sirius 1984-1998  Sirius R.U.
Clown in a Grave : Complexities and Tensions in the Works of Gregory Corso  Skau Michael
Constantly Eisking Absurdity : The Writings of Lawrence Ferlinghetti  Skau Michael
William S. Burroughs at the Front : Critical Reception 1959-1989  Skerl Jennie ed.
Chicagos Left Bank  Smith Alson J.
Eastern Philosophy And Jack Kerouacs Postmodern Poetry  Smith Christopher R.
Bukowski Review  Smith Joan Jobe and Marilyn Johnson eds.
Lawrence Ferlinghetti: Poet-At-Large  Smith Larry
Axe Handles  Snyder Gary
The Back Country  Snyder Gary
Back On The Fire : Essays  Snyder Gary
Danger on Peaks: Poems  Snyder Gary
Distant Neighbors: The Selected Letters Of Wendell Berry And Gary Snyder  Snyder Gary
Earth House Hold  Snyder Gary
Etiquette Of Freedom: Gary Snyder Jim Harrison and The Practice Of The Wild  Snyder Gary
Gary Snyder Reader: Prose Poetry and Translations 1952-1998  Snyder Gary
Great Clod: Notes And Memoirs On Nature And History In East Asia  Snyder Gary
He who hunted birds in his fatherâ€™s village : the dimensions of a Haida myth  Snyder Gary
Left Out in the Rain: New Poems 1947-1985  Snyder Gary
Look Out: A Selection of Writings  Snyder Gary
Mountains and Rivers Without End  Snyder Gary
Myths & Texts  Snyder Gary
No Nature: New and Selected Poems  Snyder Gary
Nobody Home: Writing Buddhism And Living In Places  Snyder Gary
North Pacific Lands & Waters: A Further Six Sections  Snyder Gary
Old Ways (The)  Snyder Gary
On Bread & Poetry: A Panel Discussion With Gary Snyder Lew Welch & Philip Whalen  Snyder Gary
Passage Through India  Snyder Gary
Place in Space: Ethics Aesthetics and Watersheds: New and Selected Prose  Snyder Gary
Practice of the Wild: Essays by Gary Snyder  Snyder Gary
Real Work: Interviews & Talks 1964-1979  Snyder Gary
Regarding Wave  Snyder Gary
Riprap & Cold Mountain Poems  Snyder Gary
Songs for Gaia  Snyder Gary
This Present Moment: New Poems  Snyder Gary
Turtle Island  Snyder Gary
Harry Potter 2  JK rowling
Turtle Island  Snyder Gary
This Is Henry Henry Miller From Brooklyn: Conversations With The Author From The Henry Miller Odyssey  Snyder Robert
Ports of Entry: William S. Burroughs and the Arts  Sobieszek Robert A.
Emergency Messages : An Autobiographical Miscellany  Solomon Carl
More Mishaps  Solomon Carl
Mural at the Waverly Inn : a Poertrai of Greenwich Village Bohemia  Sorel Edward
Bukowski in Pictures  Sounes Howard
Charles Bukowski: Locked in the Arms of a Crazy Life: the Biography  Sounes Howard
From The Great Depression To The Grateful Dead: Cultural History And The Beat Generation  Spangler Jason Scott
Visions Of Duluoz: A Study Of The Use Of Personae As A Means Of Self-Comprehension In The Four Lowell Novels Of Jack Kerouacs Duluoz Legend  Spedaliere Joseph A.
Collage of Dreams: Writings of Anais Nin  Spencer Sharon
Dedalus Book of Decadence (Moral Ruins)  Stableford ed.
Henry Miller: A Book Of Tributes 1931-1994  Standish Craig Peter editor
American Moderns: Bohemian New York and the Creation of a New Century  Stansell Christine
Tales From Bohemia  Stephens Robert Neilson
Daybreak Boys: Essays on the Literature of the Beat Generation  Stephenson Gregory
Mad To Be Saved : The Beats The 50s and Films  Sterritt David
Screening The Beats: Media Culture And The Beat Sensibility  Sterritt David
Gary Snyder  Steuding Bob
Road to Interzone : Reading William S. Burroughs Reading  Stevens Michael
American 1920s: Babbitts & Bohemians  Stevenson Elizabeth
Emersons Contemporaries And Kerouacs Crowd: A Problem Of Self Location  Stiles Bradley J.
Village Voice Anthology (1956-1980)  Stokes Geoffrey ed.
Greenwich Village: A Guide to Americas Legendary Left Bank  Stonehill Judith
Greenwich Village Stories: A Collection Of Memories  Stonehill Judith editor
Bohemian Manifesto: A Field Guide to Living on the Edge  Stover Laren
Village: 400 Years Of Beats And Bohemians Radicals And Rogues A History Of Greenwich Village  Strausbaugh John   
Poets on the Peaks: Gary Snyder Philip Whalen & Jack Kerouac in the North Cascades  Suiter John
Down and In: Life in the Underground  Sukenick Ronald
Whistler: A Life For Arts Sake  Sutherland Daniel E.
View from On the Road : the Rhetorical Vision of Jack Kerouac  Swartz Omar
Counterculture Reader  Swingrover E.A. editor
Beat Speak: An Illustrated Beat Glossary Circa 1956-1959  Talbot Ashleigh
Students Quarter or Paris Five and Thirty Years Since  Thackeray William Makepeace
The beats: a documentary volume  Theado Matt ed.
Understanding Jack Kerouac  Theado Matt ed.
Gary Snyders Idiosyncratic Buddhist Poetics And The Razoredge  Thimme David Gerhardt
Gonzo Tapes: Life And Work Of Dr. Hunter S. Thompson  Thompson Hunter S.
Great Shark Hunt: Strange Tales From A Strange Time  Thompson Hunter S.
Cubalogues : Beat Writers In Revolutionary Havana  Tietchen Todd F.
Big Sky Mind: Buddhism and The Beat Generation  Tonkinson Carole ed.
Bop Apocalypse: Jazz Race The Beats & Drugs  Torgoff Martin
Cant Find My Way Home: America In The Great Stoned Age 1945-2000  Torgoff Martin
Allen Ginsbergs Buddhist Poetics  Trigilio Tony
Poetics Of Prophecy: Continuities Of Visionary History In Blake H.D. and Ginsberg  Trigilio Tony
Kenneth Rexroth And The Poetics Of Commitment And Mysticism  Tritica John Michael
Paris and the Parisians  Trollope Fanny
Into the Heart of Life: Henry Miller at One Hundred  Turner Frederick editor
Renegade: Henry Miller And The Making Of Tropic Of Cancer  Turner Frederick
Jack Kerouac: Angelheaded Hipster  Turner Steve
Beat Interviews: Conversations With Allen Ginsberg William S. Burroughs John Clellon Holmes Herbert Huncke and Carl Solomon  Tytell John editor
Naked Angels  Tytell John
Paradise Outlaws: Remembering the Beats  Tytell John
Lights Of Bohemia (Luces de Bohemia)  Valle-Inclan Ramon del  
Green Piano: Poems  Vega Janine Pommy
Mad Dog Of Trieste: New & Selected Poems  Vega Janine Pommy
Verlaine: Poems  Verlaine Paul 
La Bohème  Vidor King
Bohemios: Zarzuela Completa  Vives Amadeo
New York in the 50s  Wakefield Dan
Beat Book  Waldman Anne ed.
Beats at Naropa  Waldman Anne ed. et. al.
Disembodied Poetics: Annals of the Jack Kerouac School  Waldman Anne ed. et. al.
Fast Speaking Woman  Waldman Anne
In The Room Of Never Give: New And Selected Poems 1985-2003  Waldman Anne
Iovis: All Is Full Of Jove  Waldman Anne
Kill Or Cure  Waldman Anne
Manatee/Humanity  Waldman Anne
Nice To See You: Homage To Ted Berrigan  Waldman Anne editor
Outrider: Poems Essays Interviews  Waldman Anne
Radical Presence  Waldman Anne
War Crime  Waldman Anne
Seacoast of Bohemia: An Account of Early Carmel  Walker Franklin
Beat  Walkow Gary
Moody Street Irregulars  Walsh Joy editor
Birth of the Beat Generation: Visionarie...  Watson Steven
Andy Warhol Diaries  Warhol Andy
Text And Drugs And Rock N Roll: The Beats And Rock Culture  Warner Simon
Paul Bowles: The Complete Outsider  Warnow Catherine H.
Awakener : A Memoir of Kerouac and the Fifties  Weaver Helen
Outsider  Webb Jon Edgar
Bohemian New Orleans: The Story of the Outsider and Loujon Press  Weddle Jeff
Green Ghost: William Burroughs And The Ecological Mind  Weidner Chad
Beat Generation FAQ  Weidman Rich
Francis Carco: Career of a Literary Bohemian  Weiner Seymour S.
Spontaneous Poetics of Jack Kerouac: A Study of the Fiction  Weinreich Regina
Gary Snyders Myths And Texts And The Poetry Of Constituency  Weisner Kenneth Robert
Drinking with Bukowski: Recollections of the Poet Laureate of Skid Row  Weizmann Daniel editor
How I Work As a Poet & Other Essays/Plays/Stories  Welch Lew
I Remain Volume 1: Letters of Lew Welch & Correspondence of His Friends  Welch Lew
Ring Of Bone: Collected Poems Of Lew Welch  Welch Lew
Selected Poems  Welch Lew
Internal Resistances: The Poetry Of Edward Dorn  Wesling Donald ed.
Republic of Dreams: Greenwich Village: The American Bohemia 1910-1960  Wetzsteon Ross
Canoeing Up Cabarga Creek: Buddhist Poems 1955-1986  Whalen Philip
Heavy Breathing  Whalen Philip
Overtime: Selected Poems  Whalen Philip
Blows Like A Horn: Beat Writing Jazz Style And Markets In The Transformation Of U.S. Culture  Whaley Preston Jr.
Frontier Sensibility In Novels Of Jack Kerouac Richard Brautigan And Tom Robbins  Wheeler Elizabeth Patricia
Henry Miller Between Heaven and Hell  White Emil
Wholly communion; international poetry reading at the Royal Albert Hall London June 11 1965  Whitehead Peter photographer with Corso Ferlinghetti Ginsberg And Others
Aquarius Revisited: Seven Who Created The Sixties Counterculture That Changed America  Whitmer Peter O.
Writer Robert Stone Relives Counterculture Years  WHYY-FM (National Public Radio)
Henry Miller And The Critics  Wickes George editor
Henry Miller  Widmer Kingsley
Cut-Ups Cut-Ins Cut-Outs: The Art Of William S. Burroughs  Wien Kunsthalle editor
Nerves  Wieners John
Harry Potter 1  JK rowling
Selected Poems: 1958-1984  Wieners John
Beat Scene  Wilentz Leonard editor
Vie de Boheme A Patch of Romantic Paris  Williams Orlo
Naked Tea The Burroughs Bits  Willey Philip
Scientologist!: William S. Burroughs And The Weird Cult  Wills David S.
Bohemians: The Glamorous Outcasts  Wilson Elizabeth
Holy Grail: Charles Bukowski And The Second Coming Revolution  Winans A.D.
Henry Miller: Full of Life  Winslow Kathryn
Village Voice Reader  Wolf Daniel ed.
Electric Kool-Aid Acid Test  Wolfe Tom
In Our Time  Wolfe Tom
Mauve Gloves & Madmen Clutter & Vine  Wolfe Tom
Pump House Gang  Wolfe Tom
Radical Chic & Mau-Mauing the Flak Catch  Wolfe Tom
The Source  Workman Chuck
Jack Kerouac : The Road is Life  Worth Richard
Beat Sociology: Ethnographic Journeys In Event Spaces  Wynn Jonathan R.
Paintings of Henry Miller  Young Noel ed.
From Blake To Bop: The Portmanteau Aesthetics Of Jack Kerouac  Young Thom
Beat Generation: A Gale Critical Companion  Zott Lynn M. editor
